32	309	1
32	320	1
32	639	1
32	1017	2
32	1309	2
32	1556	1
32	1855	1
32	2455	1
32	2574	1
32	2627	1
32	2757	1
32	3562	1
35	320	1
35	616	3
35	2627	1
35	4024	1
35	4222	1
53	285	1
53	573	1
53	616	1
53	1017	1
53	3771	1
53	4024	2
70	501	1
70	4491	1
75	443	1
75	4595	1
81	310	1
83	320	1
83	1694	1
83	1855	1
83	2196	1
83	4660	1
85	4784	1
88	639	1
88	1017	1
88	1574	5
88	1575	1
88	2215	1
88	4024	1
90	294	1
90	1017	1
90	1590	1
90	1855	1
90	2215	1
90	3084	1
90	4026	2
93	630	1
93	632	1
93	715	1
93	1309	2
93	1855	1
93	2193	2
93	2487	1
93	2747	1
93	2962	1
93	3153	1
93	4024	3
93	4146	1
93	4760	1
93	4803	1
118	1017	1
118	3102	1
118	3765	1
127	632	1
127	1592	1
127	3251	1
127	3714	1
127	3776	1
127	4024	1
127	4660	1
139	342	1
139	639	1
139	1855	1
139	2400	1
139	3788	1
139	4024	1
139	4026	1
144	145	1
144	2627	1
144	4024	1
144	4026	1
145	647	1
145	3141	1
145	3179	1
145	4017	1
163	4189	1
164	1562	1
164	2635	1
164	4206	1
173	647	1
173	3287	1
173	4561	1
174	647	1
174	1017	1
174	2214	1
174	2962	1
174	4026	1
192	2448	1
192	4024	1
195	616	1
195	703	1
195	3920	1
195	4026	1
195	4323	1
214	2448	1
220	616	1
220	1121	1
220	4024	1
224	441	1
224	549	1
224	2214	1
224	3272	1
224	3875	1
224	4282	2
227	1549	1
227	2387	1
235	320	1
235	616	1
235	639	2
235	2364	1
235	2448	1
235	2850	1
235	3549	1
235	4024	3
243	639	2
243	1477	1
243	1574	1
243	1855	1
243	3040	2
243	4887	1
244	639	1
244	1695	1
244	2033	1
246	981	1
246	1017	1
246	1534	4
246	1855	2
246	2215	1
246	2640	1
246	2755	3
246	2825	1
246	3268	2
246	4024	1
246	4660	1
248	2136	1
250	320	1
250	328	1
250	418	2
250	480	1
250	982	1
250	1044	1
250	1173	1
250	1909	1
250	2364	1
250	2641	1
250	3310	1
250	4024	1
250	4026	1
250	4070	1
250	4703	1
253	256	1
253	501	1
253	616	3
253	632	2
253	639	1
253	645	1
253	714	1
253	824	1
253	1386	1
253	2033	1
253	2141	1
253	2159	1
253	2214	1
253	2452	1
253	2487	1
253	2627	3
253	2747	1
253	2755	1
253	2962	1
253	3134	1
253	3155	1
253	3202	1
253	3593	1
253	3721	2
253	3784	1
253	4024	1
253	4026	1
253	4068	1
253	4183	1
253	4499	1
253	4546	1
253	4561	1
253	4616	1
253	4660	4
253	5053	1
256	616	1
256	632	1
256	688	1
256	1017	1
256	1827	1
256	2627	1
256	2747	1
256	2962	1
256	4068	1
256	4183	1
256	4689	2
259	2136	1
260	311	1
260	506	1
260	616	1
260	639	1
260	2141	2
260	2215	1
260	4024	1
260	4645	1
260	4660	3
263	414	1
263	444	12
263	445	1
263	616	2
263	639	1
263	1902	1
263	2574	5
263	2922	1
263	3084	1
263	3249	1
263	3864	5
263	4024	5
263	4741	1
268	4660	1
285	639	2
285	784	1
285	1118	1
285	1497	1
285	1855	1
285	2729	1
285	2962	1
285	4024	1
285	4660	1
294	320	1
294	647	1
294	702	1
294	1831	1
294	2729	1
294	2802	1
294	2962	1
294	3249	2
294	3298	1
294	4024	2
298	882	1
298	3083	1
298	3310	1
298	4024	1
298	4026	1
300	320	4
300	610	1
300	1827	1
300	1953	1
300	2159	1
300	2214	1
300	2288	1
300	2487	1
300	2627	2
300	4068	1
300	4152	2
309	616	1
309	747	3
309	1118	1
309	1498	1
309	2034	1
309	2455	1
309	2496	1
309	2627	1
309	2962	1
309	3975	1
309	4026	1
309	4323	1
309	4660	3
310	1586	1
310	1907	1
310	3166	1
310	4611	1
311	647	1
311	1574	1
311	1855	1
311	2666	1
311	4024	1
311	4073	1
320	332	1
320	342	1
320	503	2
320	595	1
320	610	1
320	616	4
320	621	1
320	639	3
320	647	2
320	747	1
320	751	1
320	892	1
320	950	1
320	982	1
320	998	2
320	1017	2
320	1195	1
320	1314	1
320	1429	1
320	1505	1
320	1528	1
320	1586	1
320	1619	1
320	1696	1
320	1831	1
320	1853	2
320	1855	2
320	1861	1
320	1909	1
320	1953	2
320	2047	1
320	2175	1
320	2183	2
