id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
37746	ludovic reveiz	-0.2929	-0.2761	4	1	1	6	31	1.6677	2016.3333	5.1667	0.2779
37985	luke vale	-0.3439	0.1963	17	4	8	6	305	7.4277	2012.6667	50.8333	1.238
38059	lynda hudon	0.9497	0.8092	7	30	109	7	309	5.5101	2010.4286	44.1429	0.7872
38094	lynn murphykaulbeck	0.8	0.702	21	35	165	13	565	12.2737	2011.7692	43.4615	0.9441
38164	m a richard	0.0653	-0.7676	25	8	26	5	95	2.0608	2013.2	19	0.4122
38240	m bolla	0.7065	-0.6622	30	4	22	6	6788	98.7782	2009.8333	1131.3333	16.463
38289	m constantine samaan	-0.0347	-0.5116	28	3	11	5	11	1.0691	2018.2	2.2	0.2138
38326	m dougados	0.006	-0.3324	2	4	6	7	1448	67.3504	2015.5714	206.8571	9.6215
38413	m hassan murad	-0.2823	-0.1592	4	10	17	12	387	38.1973	2017.5833	32.25	3.1831
38445	m j ribal	0.8646	-0.9518	5	4	9	5	951	13.0589	2013.6	190.2	2.6118
38504	m le maitre	0.1277	-0.7998	25	8	37	5	198	3.5711	2012	39.6	0.7142
38560	m milneives	-0.5144	0.7817	8	2	9	5	6	3.6487	2020	1.2	0.7297
38782	maarten boers	-0.0305	-0.1708	2	13	20	5	108	2.1227	2010.8	21.6	0.4245
38844	madeleine lemyre	1.0536	0.2838	22	16	68	6	151	4.0462	2012.6667	25.1667	0.6744
39020	mahmood niazi	-1.2629	-0.1304	12	7	20	9	729	12.1335	2012.7778	81	1.3482
39060	mai j m chinapaw	-0.4087	-0.3674	16	2	2	5	140	5.9009	2017.2	28	1.1802
39128	mala mann	-0.4523	0.4377	8	5	18	11	799	13.7378	2012.2727	72.6364	1.2489
39140	malcolm david mason	0.6579	-0.5734	30	5	22	7	3919	77.3483	2011.5714	559.8571	11.0498
39420	marc a rodger	-0.7523	0.5137	17	5	18	6	339	6.443	2010.1667	56.5	1.0738
39430	marc boucher	1.0386	0.9403	7	22	64	6	234	4.6155	2012.6667	39	0.7693
39435	marc carrier	-0.7375	0.5352	17	5	26	13	369	7.23	2011.1538	28.3846	0.5562
39483	marc philip righini	-0.785	0.551	17	4	16	5	216	3.2662	2010.2	43.2	0.6532
39703	marco moschini	0.9102	-1.0126	5	8	14	6	75	10.5742	2018.6667	12.5	1.7624
39759	marcos kalinowski	-1.6527	-0.158	12	3	13	7	30	7.6612	2018.5714	4.2857	1.0945
39851	margaret ip	0.967	-0.0964	14	14	83	6	389	22.0191	2017	64.8333	3.6699
39880	margaret sampson	-0.2529	0.2026	3	18	29	9	1368	41.7063	2013.8889	152	4.634
39892	margareta nordin	0.5848	-0.3305	20	11	89	10	516	6.1856	2009.7	51.6	0.6186
40393	marian mcdonagh	-0.357	0.2949	10	2	4	7	333	5.1067	2012	47.5714	0.7295
40576	mariefrance delisle	0.9208	0.7829	7	31	119	9	377	8.6214	2011.6667	41.8889	0.9579
40622	mariepierre gagnon	-0.6103	0.4655	17	5	10	8	715	19.9869	2015.5	89.375	2.4984
40624	mariesoleil wagner	1.4282	0.4136	15	15	87	6	82	3.0719	2015.3333	13.6667	0.512
40645	marika booth	0.0311	0.2511	6	9	23	7	266	10.8913	2015.8571	38	1.5559
41015	mark crowther	-0.1417	-0.1156	4	2	2	7	254	4.7312	2013.2857	36.2857	0.6759
41073	mark h yudin	0.9948	0.9023	7	22	67	8	294	5.424	2012.875	36.75	0.678
41083	mark heywood	1.1725	0.322	22	14	54	6	185	4.0753	2011.6667	30.8333	0.6792
41095	mark j hancock	0.1969	-0.2167	2	3	6	5	262	9.9532	2014.6	52.4	1.9906
41153	mark pearson	-0.5858	0.4043	8	2	4	5	15	1.5629	2018.8	3	0.3126
41154	mark petticrew	-0.2604	-0.1244	1	7	12	13	1164	14.7519	2008	89.5385	1.1348
41173	mark r somerfield	0.3368	-0.0535	13	3	7	8	2623	43.5235	2010.875	327.875	5.4404
41200	mark stevenson	-0.6593	0.2829	10	8	18	13	455	11.6426	2013.4615	35	0.8956
41211	mark turner	-1.3599	-0.165	12	7	49	13	3034	31.4328	2008.9231	233.3846	2.4179
41255	markus a kuczyk	0.842	-0.9256	5	7	20	5	2818	47.2358	2014.2	563.6	9.4472
41267	markus k diener	-0.6375	-0.5199	26	3	4	7	289	14.8527	2014.7143	41.2857	2.1218
41462	martin bjorck	-0.2884	-0.1814	4	1	1	5	37	3.9643	2018.8	7.4	0.7929
41535	martin knapp	-0.2979	0.2864	3	1	2	10	509	9.2737	2010.3	50.9	0.9274
41763	mary h h ensom	0.4083	0.3245	9	1	1	5	52	1.1868	2011.2	10.4	0.2374
42185	matthew d f mcinnes	-0.0848	0.0675	2	4	6	5	127	10.2249	2017	25.4	2.045
42221	matthew hickman	-0.4485	0.1318	1	4	8	8	1388	37.9551	2013.625	173.5	4.7444
42247	matthew j page	-0.1075	0.1748	3	19	28	5	297	15.3392	2017	59.4	3.0678
42355	matthias egger	-0.2339	0.0767	3	11	19	12	2079	37.512	2012.5	173.25	3.126
42437	maureen dobbins	0.0906	-0.0886	2	4	8	10	1372	20.7444	2011	137.2	2.0744
42489	maurits w van tulder	0.0757	-0.2103	2	9	19	14	3278	32.8074	2008.0714	234.1429	2.3434
42550	max h pittler	-0.9635	-0.5467	11	1	7	7	648	7.0875	2004.7143	92.5714	1.0125
42600	maxine johnson	-0.8133	0.1599	10	7	26	6	133	9.591	2016.5	22.1667	1.5985
42697	meera viswanathan	0.1501	0.2794	6	9	11	6	96	3.7359	2014.8333	16	0.6227
42824	mei chung	0.0673	0.3179	6	9	16	7	356	7.95	2013.5714	50.8571	1.1357
42882	melanie basso	0.9437	0.752	7	31	130	10	504	11.0921	2011.5	50.4	1.1092
42914	melanie pastuck	0.6481	0.6631	21	16	85	8	390	10.5906	2013.625	48.75	1.3238
42973	melissa c brouwers	0.3064	-0.0278	13	10	11	6	269	4.0063	2010.3333	44.8333	0.6677
42984	melissa harden	-0.5025	-0.0806	1	3	7	8	162	4.9866	2015.875	20.25	0.6233
43006	melissa mirosh	1.4632	0.3923	15	15	87	6	82	3.0719	2015.3333	13.6667	0.512
43044	melvyn w b zhang	-0.4289	0.6252	8	2	4	5	102	6.6293	2017.8	20.4	1.3259
43223	micah d j peters	0.3575	-0.4702	19	4	5	6	1493	80.3914	2018.3333	248.8333	13.3986
43226	micere thuku	-0.1741	0.1988	3	9	21	5	23	15.0247	2020	4.6	3.0049
43292	michael berk	-0.0128	0.4634	18	4	4	7	212	6.644	2015.4286	30.2857	0.9491
43372	michael fungkeefung	0.3415	0.0313	13	5	8	5	102	1.5484	2009.2	20.4	0.3097
43378	michael g gravett	0.9579	-0.1339	14	14	70	5	367	20.7738	2017	73.4	4.1548
43773	michaela coenen	0.0289	-0.1911	2	4	4	5	74	2.8386	2016	14.8	0.5677
44157	mike clarke	-0.5547	-0.0042	1	17	30	16	23690	225.7881	2011.5	1480.625	14.1118
44261	min chen	-0.8373	-0.0998	12	2	2	5	11	2.8101	2017.8	2.2	0.562
44291	mina nicole handel	-0.0618	-0.3071	2	1	1	5	4	0.7077	2019.4	0.8	0.1415
44545	mohamad bydon	-0.595	-0.1282	24	5	12	7	85	7.8035	2018.4286	12.1429	1.1148
44644	mohammad hassan murad	-0.196	-0.1188	4	8	12	7	461	16.7685	2015.8571	65.8571	2.3955
44755	mohammed t ansari	-0.1967	0.1091	3	8	10	5	96	2.1618	2013	19.2	0.4324
44797	mohit bhandari	-0.1589	-0.4081	4	15	28	21	569	12.1085	2013	27.0952	0.5766
44956	monika kastner	0.0204	0.041	3	10	15	6	294	4.2487	2010.6667	49	0.7081
45027	morgan roupret	0.8802	-1.0046	5	12	27	13	303	16.8142	2017.0769	23.3077	1.2934
45154	muhammad ali babar	-0.9054	-0.1036	12	2	6	6	313	4.9217	2010.6667	52.1667	0.8203
45214	muhammad usman	-1.6792	-0.1978	12	1	1	6	20	1.9416	2017.6667	3.3333	0.3236
45231	muin j khoury	-0.1738	-0.0242	2	1	2	6	232	8.8216	2015.6667	38.6667	1.4703
45315	muzammil memon	-0.1619	-0.5561	4	7	15	5	25	1.7282	2017.4	5	0.3456
45321	myeong soo lee	-0.9051	-0.5162	11	7	10	8	259	5.993	2013.625	32.375	0.7491
45368	myung ha kim	-0.2636	-0.4459	4	3	12	5	39	2.7156	2017.6	7.8	0.5431
45756	nancy l wilczynski	-0.0651	-0.1487	4	5	11	9	348	3.6604	2005.5556	38.6667	0.4067
45758	nancy leppink	-0.467	-0.437	16	12	41	8	151	19.7152	2018.5	18.875	2.4644
45764	nancy m salbach	0.2258	-0.3501	2	3	3	5	90	1.9731	2012.6	18	0.3946
45783	nancy santesso	-0.1523	-0.0838	4	13	18	8	351	10.1251	2014.25	43.875	1.2656
45787	nancy van eyk	1.0376	0.8902	7	23	42	8	257	4.8811	2013.375	32.125	0.6101
45790	nandamudi l vijaykumar	-1.7368	-0.1866	12	3	11	5	10	0.566	2018.8	2	0.1132
45801	nanette okun	0.6777	0.6306	21	16	89	9	426	12.6283	2014	47.3333	1.4031
46051	nathalie jette	0.3751	0.1794	9	6	14	9	327	13.2922	2015.8889	36.3333	1.4769
46314	neill k j adhikari	-0.238	0.3554	3	6	9	5	59	5.37	2017.8	11.8	1.074
46410	nia roberts	-0.5636	0.0196	1	2	2	5	233	16.8899	2016.6	46.6	3.378
46491	nicholas leyland	1.1232	0.3336	22	16	108	13	478	15.701	2013.6154	36.7692	1.2078
46563	nick sevdalis	-0.6953	0.8346	8	2	2	5	346	5.8146	2013.8	69.2	1.1629
46628	nicola luigi bragazzi	0.4714	-0.4885	19	3	3	11	63	5.7925	2018.1818	5.7273	0.5266
46634	nicola maffulli	0.5058	-0.5342	19	4	9	10	119	4.2103	2017	11.9	0.421
46666	nicola veronese	-0.021	0.5109	18	3	7	5	151	15.8268	2019.6	30.2	3.1654
46813	nicole simunovic	-0.1778	-0.5879	4	6	17	6	19	1.3625	2017.6667	3.1667	0.2271
46867	nigel armstrong	-0.3926	0.2136	1	3	8	5	266	8.3235	2015.2	53.2	1.6647
46968	nikolaos pandis	-0.0021	0.1966	3	2	4	8	113	3.4103	2016.125	14.125	0.4263
47126	niti goel	-0.0646	-0.2333	2	12	23	5	10	0.3344	2017.2	2	0.0669
47429	o pearl brereton	-1.3618	-0.1058	12	5	15	5	2066	21.5611	2009.8	413.2	4.3122
47682	olivier traxer	0.9577	-0.8879	5	2	3	5	147	2.8567	2016.2	29.4	0.5713
47688	olufemi r ayeni	-0.1957	-0.6033	4	9	25	12	129	7.3631	2017.25	10.75	0.6136
47719	omar m aboumarzouk	0.9963	-0.8917	5	2	5	6	60	4.3808	2017.6667	10	0.7301
48020	p j devereaux	-0.222	-0.0794	4	15	27	6	23024	195.3777	2009.6667	3837.3333	32.563
48034	p joly	0.0894	-0.7488	25	8	37	5	198	3.5711	2012	39.6	0.7142
48135	pablo alonsocoello	-0.1974	-0.2509	4	11	17	5	85	3.9818	2017.2	17	0.7964
48159	padhraig s fleming	-0.003	0.2092	3	2	4	5	95	2.9931	2014	19	0.5986
48263	panagiotis kerezoudis	-0.6197	-0.1284	24	4	10	5	78	6.5651	2018	15.6	1.313
48365	paolo fusarpoli	-0.1359	-0.0084	2	1	2	6	474	35.8322	2018	79	5.972
48480	pascal juillerat	-1.2317	1.1852	23	9	52	6	201	1.6669	2009	33.5	0.2778
48583	patricia j erwin	-0.326	-0.1124	4	6	10	5	451	15.0458	2015.2	90.2	3.0092
48636	patricia rios	-0.0408	0.1231	3	17	40	7	138	8.4584	2018.1429	19.7143	1.2083
48732	patrick m m bossuyt	-0.1103	0.0396	2	12	16	12	3503	33.9251	2011.3333	291.9167	2.8271
48900	paul e ronksley	0.2182	0.0725	9	3	5	5	9	1.5923	2019.4	1.8	0.3185
48925	paul g shekelle	0.0524	0.2741	6	9	23	15	1032	19.3887	2010.6667	68.8	1.2926
48932	paul glasziou	-0.5077	0.2265	10	7	8	13	948	18.0383	2012.3846	72.9231	1.3876
48946	paul hoskins	0.4778	0.0887	13	16	22	5	76	2.0479	2012.2	15.2	0.4096
48995	paul m peloso	0.4283	-0.2388	20	14	92	10	516	5.3048	2008	51.6	0.5305
49010	paul moayyedi	0.742	-0.9298	5	1	4	8	235	19.2648	2013.875	29.375	2.4081
49065	paul sutcliffe	-0.6249	0.3441	8	3	6	6	237	4.7568	2012.5	39.5	0.7928
49066	paul t heath	0.9257	-0.0797	14	16	91	9	488	27.709	2017.1111	54.2222	3.0788
49070	paul tappenden	-0.7635	0.2564	10	11	15	6	383	5.5572	2009.3333	63.8333	0.9262
49149	paula r williamson	-0.1954	-0.1968	2	19	32	12	271	13.446	2017.1667	22.5833	1.1205
49259	pearl brereton	-1.4329	-0.1569	12	7	51	21	1926	26.9763	2010.2381	91.7143	1.2846
49365	pelham barton	-0.5556	0.044	1	6	13	7	1009	11.9522	2009.1429	144.1429	1.7075
49411	penny whiting	-0.4057	0.2596	1	11	16	7	3215	30.2855	2010.4286	459.2857	4.3265
49427	per runeson	-1.5763	-0.1571	12	4	6	5	1839	33.0213	2013.2	367.8	6.6043
49639	peter j anderson	0.6387	0.4287	9	1	1	6	53	2.0605	2014.8333	8.8333	0.3434
49668	peter j zed	0.4028	0.3154	9	2	3	5	88	1.1692	2004.8	17.6	0.2338
49675	peter juni	-0.0852	-0.0958	2	14	22	6	1483	13.4312	2011.1667	247.1667	2.2385
49806	peter tugwell	-0.1192	-0.1445	2	25	54	18	3936	72.8449	2012.8889	218.6667	4.0469
49931	philip g conaghan	-0.0429	-0.2167	2	9	9	6	377	10.4351	2015.6667	62.8333	1.7392
49975	philip s wells	-0.7737	0.5234	17	5	18	8	548	5.5865	2006.25	68.5	0.6983
49998	philipp dahm	-0.2456	-0.4172	4	7	21	17	361	12.097	2015.8235	21.2353	0.7116
50011	philippa davies	-0.4461	0.0639	1	6	7	5	38	4.1964	2018.8	7.6	0.8393
50064	philippe saiag	0.0115	0.7591	18	5	21	6	733	40.4385	2014.5	122.1667	6.7397
50179	pierre cote	0.6138	-0.3621	20	13	83	10	844	7.8243	2009.4	84.4	0.7824
50181	pierre dagenais	-0.6428	0.4707	17	4	8	5	140	11.5742	2017.2	28	2.3148
50205	pierre pluye	-0.6448	0.5107	17	7	17	11	1359	35.518	2014.5455	123.5455	3.2289
